Loan Ids,Good/Bad Loan,Covid_Period(Default),RECOMENDED_LOAN_AMT,INTEREST_RATE,TENOR,TOTAL_COLLATERAL_VALUE,REC_BASIS,FRESH_TOPUP,PRODUCT,CONSTITUTION,SOURCE_BRANCH,APPLICANT_STATE,APPLICANT_CITY,COBORROWER1_DESIGNATION,COBORROWER2_DESIGNATION,COBORROWER1_CIBILSCORE,COBORROWER2_CIBILSCORE,LOCALITY,Years of Operation,TOTAL_INCOME
sdv-id-jWbZNK,Good,Yes,212683,14,47,23231294.02,Finance Ledgers,Fresh,Unsecured,Society,P,Arizona,Kristyport,Secretary,Others,866,801,RURAL,5,2678332
sdv-id-hGgFJJ,Bad,No,3865633,14,63,7339023.171,Cashflows,Fresh,Unsecured,Trust,M,Nebraska,Dillonshire,Committee Member,Treasurer,866,92,URBAN,10,18665205
sdv-id-rFTGxb,Good,Yes,2204396,14,62,,Average Bank Balance,Fresh,Others,Society,Q,Alaska,Taylorchester,Secretary,President,866,862,RURAL,9,8573838
sdv-id-eeKopr,Good,No,1467103,14,41,25297751.91,Cashflows,Fresh,Others,Trust,O,North Dakota,South Veronica,Managing Director,Member,866,862,RURAL,14,42449985
sdv-id-XMgxGr,Bad,Yes,180387,14,32,31671541.27,Cashflows,Fresh,Others,Trust,F,Georgia,Brewertown,Others,Member,866,862,RURAL,29,2985838
sdv-id-PLWudk,Bad,Yes,4413357,14,74,,Average Bank Balance,Fresh,Others,Trust,R,Kentucky,Smithshire,Member,Trustee,866,862,RURAL,24,7685976
sdv-id-AdgxzZ,Bad,No,5985861,14,87,,Cashflows,Fresh,Unsecured,Trust,S,Utah,South Deanna,Correspondent,Secretary,866,786,URBAN,12,29546628
sdv-id-EFgSpm,Bad,Yes,2509818,14,65,37863158.09,Cashflows,Fresh,Unsecured,Society,E,Massachusetts,South Nancyville,Secretary,Vice President,866,-1,RURAL,13,7052372
sdv-id-ecEGbt,Bad,No,1323109,14,66,25141425.33,Finance Ledgers,Fresh,Others,Trust,T,South Dakota,Joyceburgh,Managing Director,Member,866,862,RURAL,10,5997902
sdv-id-QShvoY,Good,No,496252,14,69,,Cashflows,Fresh,Secured,Society,U,Wyoming,Melissaton,Secretary,Treasurer,36,729,SEMIU,5,4296515
sdv-id-NimLPS,Good,No,1669995,14,62,,Finance Ledgers,Fresh,Secured,Trust,F,Kansas,Michaelland,Trustee,Treasurer,866,862,RURAL,2,6438024
sdv-id-HcCzri,Bad,Yes,1100548,14,30,13067276.97,Cashflows,Fresh,Others,Trust,C,Arizona,Lake Bryanville,Secretary,Chairman,866,862,RURAL,29,12309397
sdv-id-eyVAXL,Bad,No,2669151,14,53,,Finance Ledgers,Top Up,Unsecured,Society,P,Hawaii,Michaelville,Others,President,866,862,RURAL,18,19075945
sdv-id-auGaPz,Bad,No,740999,14,54,,Cashflows,Fresh,Others,Trust,V,Indiana,Carmenfurt,Secretary,Secretary,866,862,URBAN,15,5794270
sdv-id-bSiaQy,Bad,Yes,201269,14,51,,Cashflows,Fresh,Secured,Trust,E,Nevada,North Molly,Managing Director,Managing Director,866,862,RURAL,1,2167753
sdv-id-iaabWX,Good,No,447074,14,45,,Finance Ledgers,Fresh,Secured,Trust,C,Washington,North Christopherfurt,Correspondent,Managing Director,866,-1,SEMIU,29,7287477
sdv-id-fHjicK,Good,Yes,18429,14,41,14548504.43,Cashflows,Top Up,Unsecured,Trust,W,Indiana,North Katherine,President,Secretary,866,862,SEMIU,4,575853
sdv-id-VKVMGa,Bad,Yes,271917,14,39,14349678.02,Cashflows,Fresh,Secured,Society,X,Louisiana,East Ashley,Secretary,Secretary,866,-1,SEMIU,2,933365
sdv-id-fVuukz,Bad,No,966550,14,59,16673986.9,Cashflows,Fresh,Others,Trust,Y,Utah,East Johnfurt,Secretary,Member,731,435,SEMIU,11,2369073
sdv-id-axtMZD,Good,No,799495,14,75,,Cashflows,Fresh,Secured,Trust,C,Florida,South Jennifer,Trustee,Treasurer,866,862,URBAN,12,364148
sdv-id-JnEOMd,Bad,No,95469,14,23,,Finance Ledgers,Fresh,Unsecured,Trust,Z,Kansas,North Emma,Secretary,Member,866,862,URBAN,5,27354464
sdv-id-elAYSM,Good,No,5637803,14,66,30853654.48,Cashflows,Fresh,Others,Society,[,Oregon,Suarezchester,President,Director,866,862,RURAL,7,16136674
sdv-id-MILqRh,Bad,Yes,889334,14,66,,Finance Ledgers,Fresh,Others,Trust,A,West Virginia,Lichester,President,Trustee,866,455,SEMIU,13,2568744
sdv-id-VSqhSb,Bad,No,1657262,14,37,22101063.97,Cashflows,Fresh,Unsecured,Trust,A,Wyoming,Lindatown,Chairman,Trustee,521,862,RURAL,8,17355077
sdv-id-geIFrv,Good,No,512111,14,49,10886230.12,Finance Ledgers,Fresh,Unsecured,Trust,G,Michigan,Starkburgh,Secretary,Treasurer,762,1,RURAL,8,26678104
sdv-id-RiZVpM,Bad,Yes,369903,14,47,,Cashflows,Fresh,Others,Society,E,Nebraska,Rodneybury,Others,Secretary,866,862,SEMIU,29,11469018
sdv-id-JLKXxi,Good,Yes,562046,14,31,40497488.62,Cashflows,Fresh,Others,Society,\,Ohio,Thomasville,Secretary,Member,465,-1,URBAN,14,8359767
sdv-id-EJQsxr,Good,Yes,1494526,14,37,11056609.95,Cashflows,Fresh,Others,Trust,],New Jersey,Amandahaven,President,Member,866,862,URBAN,13,381612
sdv-id-RTHkVU,Bad,Yes,3830504,14,59,19777408.06,Cashflows,Fresh,Unsecured,Trust,[,Arkansas,Murrayside,Others,Trustee,866,862,RURAL,34,4046419
sdv-id-eRqOkw,Good,No,357371,14,53,8806291.996,Cashflows,Fresh,Secured,Society,A,Massachusetts,Port Edward,Secretary,Managing Director,866,853,RURAL,17,1171870
sdv-id-mpOMCx,Bad,Yes,18548382,14,92,17120883.88,Cashflows,Fresh,Others,Society,[,California,Cantrellfurt,Others,Secretary,126,32,URBAN,20,18259569
sdv-id-ykDEoh,Bad,No,267160,14,20,,Cashflows,Fresh,Unsecured,Society,I,Massachusetts,Taylorshire,Secretary,Member,250,-1,SEMIU,10,1572879
sdv-id-VwOFRN,Good,No,316205,14,63,,Finance Ledgers,Top Up,Others,Society,E,Florida,Robertfurt,President,President,866,2,SEMIU,6,7327128
sdv-id-nqXcxx,Bad,Yes,202543,14,36,,Finance Ledgers,Fresh,Unsecured,Trust,^,Michigan,Bradleyshire,President,Others,238,862,RURAL,2,2312760
sdv-id-HNgKBR,Bad,No,5112595,14,53,,Cashflows,Top Up,Others,Society,T,South Dakota,Alexanderland,Chairman,President,866,862,RURAL,4,28823090
sdv-id-WFZxXt,Good,Yes,46514,14,45,,Cashflows,Fresh,Secured,Trust,_,Washington,West Stephanie,Secretary,Others,866,570,RURAL,19,1076174
sdv-id-niiaSr,Bad,No,260949,14,61,,Cashflows,Fresh,Others,Trust,[,Utah,Lake Michaelview,Secretary,President,866,,SEMIU,3,3663898
sdv-id-HjyeUU,Bad,No,862596,14,38,,Finance Ledgers,Fresh,Unsecured,Society,[,Ohio,Blakehaven,Others,Member,866,862,SEMIU,10,7379513
sdv-id-vMgJta,Good,No,4489733,14,83,,Finance Ledgers,Fresh,Unsecured,Society,K,Utah,Jamesmouth,Secretary,Others,866,862,URBAN,8,14530634
sdv-id-ZSxZaw,Bad,No,2977674,14,84,,Cashflows,Fresh,Unsecured,Society,L,Colorado,New Shawnfort,Correspondent,Secretary,866,862,URBAN,12,21765857
sdv-id-twFPgv,Bad,No,26080,14,41,17719721.82,Cashflows,Fresh,Secured,Society,M,Wyoming,Taylorburgh,President,President,866,862,SEMIU,21,1419479
sdv-id-xEXBon,Bad,No,4762255,14,80,,Cashflows,Fresh,Unsecured,Trust,G,Arizona,Lake Wendyfurt,Others,President,866,862,SEMIU,25,10521522
sdv-id-wEgroo,Good,No,3309369,14,75,,Average Bank Balance,Fresh,Others,Trust,O,Tennessee,New Jeremyfurt,Secretary,Member,866,9,SEMIU,24,13374859
sdv-id-faDMQm,Bad,Yes,184054,14,25,,Cashflows,Fresh,Others,Society,F,North Carolina,New Christopher,Secretary,Managing Director,866,-1,SEMIU,22,4241697
sdv-id-wLPdxY,Bad,No,128831,14,57,,Cashflows,Fresh,Secured,Trust,H,Idaho,Keithhaven,President,Member,720,7,URBAN,15,11160305
sdv-id-PVirsV,Bad,No,127611,14,45,,Cashflows,Fresh,Unsecured,Society,^,Virginia,East Joanna,President,Member,866,862,SEMIU,16,3209180
sdv-id-JGNsOa,Good,No,981025,14,83,,Cashflows,Fresh,Secured,Trust,X,Illinois,South Kellyport,Member,Trustee,14,862,RURAL,16,11562264
sdv-id-ULLrrY,Bad,Yes,2576528,14,83,,Cashflows,Fresh,Others,Trust,S,Arizona,Kathrynbury,Secretary,Member,866,862,SEMIU,18,8287181
sdv-id-VFwWWg,Good,No,2866569,14,56,,Bank Credits,Fresh,Others,Society,M,Texas,Keyville,President,Member,866,3,SEMIU,11,10224760
sdv-id-gXNMnb,Bad,No,10700650,14,55,,Finance Ledgers,Fresh,Others,Trust,V,Ohio,New Jason,Secretary,Vice President,-1,862,SEMIU,16,55211149
sdv-id-GrTEsi,Bad,Yes,26606,14,49,,Cashflows,Fresh,Others,Society,[,Montana,New David,Secretary,Member,866,148,SEMIU,19,1201127
sdv-id-WziugN,Good,No,256719,14,51,,Cashflows,Top Up,Others,Trust,G,Vermont,Barbaraburgh,Chairman,Secretary,431,862,URBAN,3,2890863
sdv-id-vDOMDc,Good,No,920996,14,56,16177442.5,Cashflows,Fresh,Unsecured,Trust,E,Tennessee,Bryantshire,Member,Trustee,866,862,SEMIU,27,1861529
sdv-id-cZOIRs,Bad,Yes,281285,14,28,,Finance Ledgers,Fresh,Others,Trust,H,Vermont,Port Susanport,Secretary,Managing Trustee,866,862,RURAL,9,26578054
sdv-id-AovFSr,Good,Yes,162446,14,35,30208541.3,Finance Ledgers,Fresh,Unsecured,Trust,E,Michigan,South Christine,Secretary,Others,866,-1,URBAN,10,2323000
sdv-id-HCEOyD,Bad,No,1670031,14,98,,Cashflows,Fresh,Secured,Society,E,New Mexico,Donnaside,Correspondent,Secretary,779,862,SEMIU,12,26460605
sdv-id-ufTFOb,Good,No,27279,14,15,,Finance Ledgers,Top Up,Secured,Trust,K,Utah,East Claireport,Correspondent,Treasurer,866,862,RURAL,16,13596269
sdv-id-NBnWSd,Good,No,1400006,14,56,,Cashflows,Fresh,Unsecured,Society,`,Georgia,Jamesbury,Trustee,Correspondent,866,862,URBAN,20,5483170
sdv-id-eZKhbc,Good,Yes,456075,14,70,,Cashflows,Fresh,Secured,Trust,Z,Pennsylvania,Peterville,Member,Vice President,866,862,SEMIU,17,7811740
sdv-id-wJtmsi,Good,No,2839681,14,118,6922187.895,Finance Ledgers,Fresh,Others,Society,A,Nevada,North Ashley,President,Secretary,856,862,URBAN,19,15274075
sdv-id-OFSbmg,Good,Yes,366169,14,72,10244428.58,Cashflows,Fresh,Secured,Trust,X,Virginia,East David,President,President,866,862,SEMIU,7,3775638
sdv-id-WITHLV,Bad,No,139398,14,46,21606563.24,Finance Ledgers,Fresh,Unsecured,Society,M,Oregon,Glovermouth,Secretary,Secretary,853,-1,SEMIU,2,6863598
sdv-id-LIQjiH,Good,No,209432,14,27,,Cashflows,Fresh,Unsecured,Society,X,Maryland,North Kellyshire,Others,Chairman,725,236,SEMIU,18,1414219
sdv-id-DHjkTX,Bad,Yes,2112482,14,63,36773162.59,Finance Ledgers,Fresh,Others,Trust,Y,Arkansas,Rebeccaville,President,Vice President,866,862,SEMIU,5,4503012
sdv-id-khLYFD,Bad,No,2546617,14,54,41749055.94,Cashflows,Fresh,Unsecured,Trust,C,Illinois,Glennfurt,Correspondent,Others,202,862,URBAN,10,4919654
sdv-id-ityKgz,Good,No,545385,14,46,,Cashflows,Fresh,Others,Society,^,Tennessee,West Toddbury,Managing Trustee,Correspondent,866,862,SEMIU,11,3705306
sdv-id-luENRq,Bad,No,208630,14,30,,Finance Ledgers,Fresh,Unsecured,Society,a,Tennessee,Melissaton,President,Secretary,866,70,SEMIU,1,1803206
sdv-id-RFcpxX,Good,No,9328130,14,71,,Cashflows,Fresh,Others,Society,E,New Mexico,Port Cynthia,President,Secretary,866,2,URBAN,13,15396949
sdv-id-JRsAwC,Bad,No,1504735,14,92,,Finance Ledgers,Fresh,Unsecured,Trust,G,Texas,Port Alisonstad,Secretary,Correspondent,866,-1,SEMIU,9,8190099
sdv-id-aQXgEB,Bad,Yes,675606,14,44,37481074.84,Cashflows,Fresh,Secured,Society,Z,Montana,Leonardshire,President,Treasurer,866,862,SEMIU,12,1268111
sdv-id-pDqyPF,Good,No,144352,14,45,,Cashflows,Fresh,Others,Society,H,Kansas,Hawkinsshire,Secretary,Treasurer,866,750,URBAN,8,3855072
sdv-id-qdugaP,Good,No,43849,14,36,,Finance Ledgers,Fresh,Secured,Society,U,Washington,Port Shaunfurt,President,Managing Director,866,846,SEMIU,16,125771
sdv-id-nojEJE,Bad,Yes,9881,14,39,,Cashflows,Fresh,Unsecured,Trust,U,Pennsylvania,South Shane,President,Trustee,866,17,RURAL,6,1987183
sdv-id-ciTNId,Bad,No,4940450,14,42,,Cashflows,Fresh,Others,Trust,C,Connecticut,Port Angelatown,Managing Director,Trustee,866,862,URBAN,39,56347551
sdv-id-IpslKp,Bad,No,2358801,14,59,,Cashflows,Fresh,Unsecured,Trust,V,Iowa,West Pamela,Treasurer,President,843,862,URBAN,2,8050379
sdv-id-WBwfLp,Good,No,62432,14,37,,Cashflows,Fresh,Secured,Society,V,Kentucky,Contrerasbury,President,Vice President,866,862,RURAL,14,5691255
sdv-id-VIGXAr,Bad,Yes,3775172,14,84,,Finance Ledgers,Fresh,Others,Society,Y,Connecticut,North Devin,Others,Managing Director,866,858,URBAN,11,12371829
sdv-id-pqsGjl,Good,Yes,14802452,14,117,16825646.05,Finance Ledgers,Fresh,Others,Trust,M,Michigan,Kathrynburgh,President,Secretary,866,-1,URBAN,21,32483644
sdv-id-kDhlKl,Good,Yes,4547997,14,64,,Cashflows,Fresh,Others,Society,H,West Virginia,Mcclureside,President,Vice President,854,862,SEMIU,9,27396894
sdv-id-XtEBgR,Good,No,1979523,14,57,,Cashflows,Fresh,Others,Society,_,Wyoming,West Richardborough,Managing Trustee,Member,866,862,RURAL,9,9830811
sdv-id-TkYAVg,Good,No,737092,14,33,,Cashflows,Fresh,Others,Trust,E,Hawaii,New Crystalfort,President,Secretary,5,862,RURAL,2,3865158
sdv-id-YlIPLl,Bad,No,7548959,14,57,31776116.09,Finance Ledgers,Fresh,Others,Trust,K,Nebraska,Williamstad,Managing Trustee,Vice President,866,862,RURAL,7,36046752
sdv-id-LICRiI,Good,No,449327,14,88,4395258.008,Cashflows,Fresh,Others,Trust,[,Nevada,Jerrytown,Secretary,Member,792,-1,SEMIU,27,1790744
sdv-id-UrMpGN,Bad,Yes,565801,14,40,,Cashflows,Fresh,Unsecured,Trust,A,Oklahoma,Martinezhaven,President,Secretary,866,862,RURAL,13,13132883
sdv-id-TkkJip,Good,No,214670,14,25,,Cashflows,Fresh,Unsecured,Trust,S,Connecticut,Danieltown,Treasurer,Secretary,866,862,RURAL,8,3597437
sdv-id-fNZaVx,Bad,No,13884250,14,71,4986312.837,Finance Ledgers,Top Up,Others,Society,K,New York,Michaelmouth,Director,Vice President,642,537,SEMIU,5,24292001
sdv-id-qEgJhv,Bad,No,1398193,14,55,,Cashflows,Fresh,Secured,Trust,A,California,New Kenneth,Secretary,Vice President,424,-1,SEMIU,26,11907792
sdv-id-MuMsTM,Good,Yes,7460,14,18,,Finance Ledgers,Fresh,Unsecured,Society,V,North Dakota,Shawmouth,Chairman,President,866,544,RURAL,11,173892
sdv-id-tIdnDo,Good,No,5016097,14,52,,Cashflows,Fresh,Unsecured,Society,B,North Carolina,Williamsland,President,President,866,862,RURAL,3,23883448
sdv-id-FbaPMw,Good,Yes,947259,14,59,,Cashflows,Fresh,Others,Society,R,Pennsylvania,Portermouth,Secretary,Treasurer,866,862,SEMIU,13,14568859
sdv-id-mOwgWT,Bad,Yes,8028673,14,84,16232904.91,Cashflows,Top Up,Others,Trust,V,New Hampshire,East Michelle,President,Secretary,866,1,RURAL,7,26021135
sdv-id-ahZQCo,Good,No,1263502,14,38,12916956.2,Cashflows,Fresh,Unsecured,Society,K,Minnesota,Matthewchester,Secretary,President,866,862,RURAL,14,10987429
sdv-id-uVpClP,Bad,No,1301313,14,56,,Cashflows,Fresh,Unsecured,Trust,],Alabama,Kevinborough,Vice President,President,866,862,URBAN,13,26253744
sdv-id-hOWPPU,Good,No,129932,14,43,,Finance Ledgers,Fresh,Others,Trust,F,Massachusetts,West Travis,Secretary,Member,314,862,RURAL,12,568683
sdv-id-nXApbX,Good,No,10309124,14,130,19058002.75,Cashflows,Fresh,Others,Trust,^,New Mexico,Cohenberg,Others,President,286,-1,SEMIU,19,46992076
sdv-id-hZkUut,Bad,No,2006025,14,74,,Cashflows,Fresh,Others,Society,H,Colorado,Lake Claytonside,Managing Trustee,Trustee,866,99,URBAN,28,9926547
sdv-id-RwAZXO,Good,No,7546927,14,97,25502643.73,Cashflows,Fresh,Others,Society,R,Oklahoma,Angelastad,Others,President,-1,-1,RURAL,4,3060601
sdv-id-hRUwba,Bad,No,978919,14,39,,Cashflows,Top Up,Secured,Society,J,Utah,Port Juliemouth,Managing Trustee,Secretary,782,862,SEMIU,10,19156415
sdv-id-MmKlAF,Bad,No,6908571,14,56,20230988.5,Cashflows,Fresh,Unsecured,Trust,O,Kentucky,Angelville,Secretary,Treasurer,791,147,RURAL,8,30652403
sdv-id-vDUVLM,Bad,Yes,95054,14,21,,Cashflows,Fresh,Secured,Society,R,West Virginia,Scottport,Secretary,Secretary,854,862,URBAN,20,231378
sdv-id-oChxuH,Bad,Yes,47973,14,16,,Cashflows,Fresh,Unsecured,Trust,V,Pennsylvania,Lake Jennifer,Secretary,President,866,862,RURAL,11,4514628
sdv-id-YTEzNN,Good,Yes,752878,14,53,16360200.75,Cashflows,Fresh,Unsecured,Trust,E,Hawaii,East Troyberg,Trustee,Trustee,866,862,RURAL,7,4490898
sdv-id-mDOxyT,Good,No,7517,14,17,,Cashflows,Fresh,Secured,Society,H,Alaska,Guerreroshire,Vice President,President,2,862,SEMIU,5,16039
sdv-id-ySqOUn,Bad,No,88989,14,33,,Finance Ledgers,Fresh,Secured,Society,A,New Jersey,South Sherrishire,Secretary,Member,9,862,URBAN,11,16528374
sdv-id-jtJmfX,Bad,Yes,266371,14,60,,Cashflows,Fresh,Secured,Trust,[,Kansas,Pattersonside,President,Secretary,1,862,RURAL,1,3338048
sdv-id-xjohjF,Good,No,680172,14,45,,Cashflows,Fresh,Others,Society,[,Illinois,East Ryanport,President,Member,866,862,SEMIU,10,6621459
sdv-id-hiyOJu,Bad,No,2328561,14,70,,Cashflows,Top Up,Others,Society,W,North Dakota,New Kevin,President,Secretary,866,858,SEMIU,3,6154077
sdv-id-PZvMmO,Bad,Yes,3620798,14,49,8592207.7,Cashflows,Fresh,Others,Trust,G,Iowa,Lake Kristina,Secretary,Secretary,-1,-1,RURAL,4,9149315
sdv-id-irjXHW,Good,Yes,206234,14,54,,Cashflows,Top Up,Unsecured,Society,F,Hawaii,Port Andrew,President,Others,716,7,SEMIU,17,6099009
sdv-id-GpQAlt,Bad,Yes,396789,14,35,,Cashflows,Fresh,Secured,Society,^,North Dakota,West Denise,Others,Trustee,866,764,RURAL,24,38741927
sdv-id-QYtefT,Bad,No,1659764,14,50,19589598.52,Finance Ledgers,Fresh,Others,Trust,F,Minnesota,West Brian,Secretary,Trustee,866,230,RURAL,18,11738625
sdv-id-WACOIi,Bad,No,2422501,14,70,,Cashflows,Fresh,Unsecured,Trust,L,Oregon,New Samuel,Managing Director,Vice President,866,862,SEMIU,31,27726312
sdv-id-koPRRW,Bad,No,8321838,14,62,8044006.991,Finance Ledgers,Fresh,Unsecured,Society,R,California,Murphyview,President,Secretary,866,-1,SEMIU,1,8122709
sdv-id-ZjSfqY,Good,Yes,3820660,14,88,3627590.171,Cashflows,Top Up,Others,Society,Y,Wisconsin,Roberttown,Secretary,Vice President,866,1,RURAL,32,17418673
sdv-id-SrgwXY,Good,No,14149542,14,93,15249661,Cashflows,Fresh,Others,Trust,M,South Carolina,Scottmouth,Director,Managing Trustee,866,862,RURAL,7,25873748
sdv-id-pYInNr,Bad,No,2833190,14,40,34924082.19,Cashflows,Fresh,Unsecured,Society,],New Jersey,Lake Brittany,Managing Director,Secretary,866,862,SEMIU,10,55754512
sdv-id-PNQPyZ,Bad,Yes,442967,14,30,,Finance Ledgers,Fresh,Others,Trust,E,Mississippi,Abbottfurt,Others,Vice President,866,862,SEMIU,9,16503660
sdv-id-TAXkBL,Bad,No,494550,14,92,,Cashflows,Fresh,Others,Society,P,Vermont,Davisfurt,President,Secretary,796,548,SEMIU,9,7901
sdv-id-gOBwXE,Bad,No,1187338,14,75,,Cashflows,Fresh,Unsecured,Society,C,Maryland,West Rebekahshire,Others,Secretary,866,862,SEMIU,4,33266778
sdv-id-JeyVFZ,Bad,No,136143,14,32,18984797.92,Cashflows,Fresh,Others,Society,b,Connecticut,Thomasstad,Managing Director,Treasurer,590,862,RURAL,1,6840013
sdv-id-EvymDD,Bad,Yes,239311,14,27,4151103.824,Finance Ledgers,Fresh,Unsecured,Society,C,Pennsylvania,Lake Calebside,President,President,866,332,SEMIU,12,4702674
sdv-id-cnzYfL,Bad,Yes,8031986,14,120,,Cashflows,Fresh,Others,Trust,V,Tennessee,North Ericside,Chairman,Treasurer,866,862,RURAL,13,8466930
sdv-id-ujHGjT,Bad,No,9259798,14,58,,Cashflows,Fresh,Others,Society,G,Texas,Joshuaview,Secretary,Secretary,174,862,URBAN,17,60300429
sdv-id-xljmBt,Bad,Yes,2904718,14,56,,Cashflows,Fresh,Unsecured,Society,R,Iowa,South Thomasmouth,Member,Treasurer,866,862,RURAL,18,10221576
sdv-id-tiTNoG,Good,No,126813,14,46,,Cashflows,Fresh,Others,Public Limited Company,N,Nebraska,West Jeremyside,Secretary,Secretary,866,862,SEMIU,31,4901526
sdv-id-pOMScg,Bad,No,120720,14,60,,Finance Ledgers,Fresh,Unsecured,Society,E,Maryland,Lake Jenniferhaven,Secretary,Trustee,864,-1,RURAL,2,6043523
sdv-id-ALNbzk,Good,No,3474342,14,130,8426942.654,Cashflows,Fresh,Others,Trust,G,Wyoming,Thompsonview,Secretary,Secretary,866,862,SEMIU,14,22948054
